question,true_dept,pred_dept,correct,confidence
има ли такса за справка от сметка месец назад,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5552379048642646
при застраховка кредитна защита кога се изплаща на клиента при болничен,Пазар Банково застраховане,Пазар Банково застраховане,True,0.7603607123931604
може ли частично погасяване на кредит от друг клиент,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.4932205041683005
кой номер е коя сигнатура,Други,Други,True,0.6223087978972969
има ли отстъпки за клиенти с телк решение за месечни такси по разплащателната сметка,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.34198461731288504
как да се свържа с колега от отдел оспорване на картови разплащания,Други,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.2703319808247234
младежки пакет,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5504672862437747
какво е максималното ltv при панел,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.40442259816632853
"моля, намери ми в портала на банка дск референия, която клиента да попълни за издаване на референция за заличена ипотека",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.2794117571726927
как се наема сейф?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,Support_Services,False,0.38663988489498374
какви документи подписва клиент при кандидатстване за потребителски кредит през приложението dsk mobile,Няколко пазара,Пазар Потребителско кредитиране,False,0.5456884914683516
необходим ли е акт за раждане за откриване на сметка със специална дебитна карта дск тийн ?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7803867177121574
какви инвестиционни продукти с гарантирана доходност предлага банка дск,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.6898494087715206
контакти при проблем с лос,Пазар Потребителско кредитиране,Пазар Ежедневно банкиране,False,0.16541137462151934
"когато се внесе по-голяма сума по главница на кредита и се подпише допълнително споразумение за намаляване на вноската, след какъв период вноската ще бъде по-малка",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.2729533205032006
а трябва ли да попълвам някакъв талон,Други,Други,True,0.630148182903356
беше добре това да го знаеш,Други,Други,True,0.6511587549918787
от кого трябва да се получи дебитна карта дск тийн,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6567517801078296
колко дни се изпълнява валутният превод sepa?,Други,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.6749895461790065
какви са таксите за теглене на лева,Пазар Ежедневно банкиране,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False,0.5190213957036773
чуждестранен клиент,Други,Други,True,0.29456295589494913
може ли непълнолетно лице да ползва dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7722768125879721
коя кк неможе да се излъчва по облекчената процедура,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.6295549872326205
как да получа виртуална карта,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.31684472307462397
"какъв е максималният брой възрастни лица над 18 години, които могат да се застраховат в семеен пакет по застраховка смисъл за теб?",Пазар Банково застраховане,Пазар Банково застраховане,True,0.6851096081002148
такси за жилищен 350000лв,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5727417058014996
има ли такса вноска детски влог,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5286079468988235
"dear ms. angelova, i am sorry, i was unable to take your call as i was on a plane. i am available to travel to bulgaria as early as next week at your convenience to finalize my guarantee opening request. i understand that drafting a guarantee takes several days. to avoid making two trips to bulgaria for the same matter, would it be possible for you to start preparing the guarantee in advance? this would allow me to handle this matter in a single trip. how many days do you need me in sofia to do the guarantee ? thank you for your assistance.",Други,Други,True,0.6822490111764279
какъв е максималният срок за издължаване по ипотечен кредит?,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7802373124227656
какви документи са нужни за българи работещи в чужбина за ипотечен кредит ?,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6813502803781306
условия по кредитна карта wizz air,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.8042265761539088
как да предложим инвестицини планове.,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.36683082887888036
за колко време се открива разплащателна сметка през dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8732542946718996
моля основанието по нареден превод на стойност 2800 лв да бъде коригирано на. семейни ценности,Други,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.3120565021654612
необходими документи за жик,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5546899572885108
как да продам смисъл за теб?,Пазар Банково застраховане,Пазар Спестяване и инвестиции,False,0.41493276177555655
какъв е размерът на осигурителната вноска за професионален пенсионен фонд при първа категория труд,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.6282004274627443
как се добавя карта в google/apple wallet за плащане на пос през телефон в приложението dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5943869026596675
дск директ,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.4632135855890631
такса за проверка на документи на фирмен клиент чужденец,Пазар Малък бизнес,Пазар Малък бизнес,True,0.5835371885190125
може ли да се закрие запорирана сметка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.2710759119769188
а ако е в лева,Други,Други,True,0.5099585406639123
каква е таксата за вноска на каса на клиент с пакет премиум плюс?,Пазар Ежедневно банкиране,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.43679255382683163
клиент е с блокирани електронни канали (директ/смарт) заради фишинг. може ли да премине през self enrollment процеса в dsk mobile?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7701344986538751
"какво включва проверката , че определен етап от строителството е завършен",Пазар Жилищни и ипотечни кредити,Други,False,0.19716451704200466
каква е сумата на оценка за апартамент,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.650581935271602
по коя сметка в главна книга се събира такса приход в лева,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,True,0.5072413357358737
колко е мод в пловдив,Няколко пазара,Други,False,0.3753913559681652
грешка в дск смарт 931,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6421745084632637
какви видове кредитни карти има?,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7053716795281569
не си виждам картата в дск смарт,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.4796526957047639
какви са видовете потребителски кредити,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.5710273302092873
"а ако кара ски като любител, а не като професионален спортист?",Пазар Банково застраховане,Други,False,0.7362398340193255
каква е таксата за преиздаване на изгубена кредитна карта,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.5851895184118485
изисквания за ипотечен кредит,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.8958498927287961
в dsk mobile могат ли да се виждат инвестиционни продукти,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6860486663597141
могат ли да се правят преводи от замразена сметка на клиент на гише,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,True,0.46698736762518855
как мога да стана премиум клиент в дск,Други,Други,True,0.3486137150362915
кога се активират 5 безплатни тегления на месец от банкомати на банка дск в българия и банкомати на otp group в чужбина за основната карта към сметката при подписване на план за заплата,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.2953082179602378
каква е максималната сума до която може да бъде увеличаван лимит по кредитна карта,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7096536502790503
сметка старт откриване,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7846623396556279
дължи ли се такса по кредитна карта ако има направени 24 операций,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.5370063166143316
"какво означава ""непрофесионален клиент“?",Други,Други,True,0.512419281692176
клон на банката в пловдив,Други,Други,True,0.34703840557931165
dsk maxi go,Пазар Разсрочени плащания,Пазар Ежедневно банкиране,False,0.43135102749107745
има ли такса предсрочно погасяване при стоков кредит,Пазар Ежедневно банкиране,Пазар Потребителско кредитиране,False,0.268760364067294
към кой банки мога да наредя превод blink?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.2920616010177807
такса оценка на обезпечение,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7783747473356516
какви документи могат да се подписват в кеп,Други,Пазар Ежедневно банкиране,False,0.4248887981461291
необходимо ли е присъствие на родител при получаването на дебитна карта дск тийн,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7322257396507191
какви документи са ми необходими при кандидатстване за кредит за покупка на жилище? на какви критерии трябва да отговарям?,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5484429157451258
как се прекратява застраховка смисъл за теб,Пазар Банково застраховане,Пазар Банково застраховане,True,0.7755013716636292
какви въпроси мога да ви задавам ?,Други,Други,True,0.3364835115607423
какви са часовете за изпълнение на преводи рингс?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,True,0.6062508735551277
мога ли да преиздам златна кредитна карта мастъркард в платинена карта виза в премиум план,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.6062862193345117
как се активира телефона за работа със сертификат,Други,Пазар Ежедневно банкиране,False,0.32920988700233705
"ако клиента не получи push нотификация, може ли да потвърди картово плащане?",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.26916836542909317
"каква актуализация трябва да се направи при изплащане на наследствен дял , при което клиента не е на дск",Support_Services,Support_Services,True,0.645040218391917
каква е валидността на банковата референция,Support_Services,Други,False,0.3403358076532259
такса за оценка -етаж от къща,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7612257871555367
общи условия по пакет дск начало,Пазар Малък бизнес,Пазар Ежедневно банкиране,False,0.28523447083784076
при клас а и а+ освобождават ли клиента от такса?,Пазар Жилищни и ипотечни кредити,Други,False,0.5680469277243229
на каква стойност се равнява една точка от бонус програмата wizz air,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.3727288473151822
в какво инвестира фонда по подробно,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.5590546906734469
"какви преференции ползва клиент притежател на кредитна карта visa platinum, издадена към премиум план",Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7431933551888373
каква ще е годишната такса за кредитна карта visa galaxy ако е използване 24 пъти в годината?,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7408817754193772
може ли да ми изпратиш допълнително споразумение за увеличаване на лимит по кредитна карта,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.673231594679186
образец пълномощно,Support_Services,Support_Services,True,0.4329998562688214
"имаме одобрено искане в ценовия регистър, но рамера на кредита е намален. какви са границите за отклонение в размера на кредита, за да запазим одобрения лихвен процент?",Пазар Потребителско кредитиране,Пазар Жилищни и ипотечни кредити,False,0.3373008469228573
как да разбера,Други,Други,True,0.4272114347326524
могат ли да се кредитират през los нови за банката клиенти?,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.5427198842858731
"има ли такса за кандидистване на потребителски кредит,като се дойде на място в клон на банката?",Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.6599484245748091
какво е selfenrollment,Други,Други,True,0.371298737855907
трябва ли да преиздадем нова дебитна карта на клиент включен в пакет платинум?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.3468762488012813
колко е лимита за плащане при търговец с карта,Пазар Ежедневно банкиране,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.3903655951949417
удостоверение за млади семейства,Пазар Жилищни и ипотечни кредити,Няколко пазара,False,0.3428573698805848
каква е максималната сума на жилищен кредит предлаган от банката?,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.39795396611506473
как мога да активирам ел. банкиране?,Пазар Ежедневно банкиране,Други,False,0.4607446604765019
ипотечен кредит за вътрешно рефинансиране,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.8136546003622565
"дск мобайл, 3д парола",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8303647172574302
на какви клиенти може да се предлага и какво е включено в него,Други,Support_Services,False,0.3288815723097795
какъв е максималния размер на ктп,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.7430914186516588
къде има банкомати за вноска в софия,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,Други,False,0.5786152281718102
"какви промени в таксите на банката ще има от 01 ,06,2025",Други,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.45046344761294976
как се открива сметка на земеделски производител,Пазар Малък бизнес,Пазар Ежедневно банкиране,False,0.2794198479093253
колко е минималната вноска за инвестиционен фонд,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.6108233252188471
как да излъча кредитна карта по облекчена процедура,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.780360110913887
може ли мтоукън да се ползва за лична сметка и за фирмена,Няколко пазара,Пазар Малък бизнес,False,0.5591938821788184
какво се случва ако в три последователни месеца не се вземе таксата за инвестиционен план зарада недостатъчна наличност,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.2968388155452421
може ли да се открие сметка онбординг на юридическо лице без пълен адрес/улица,Пазар Малък бизнес,Пазар Малък бизнес,True,0.3565021565612729
как се анализира доход от граждански договор?,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,True,0.6791840497234451
а как да създам този статичен пин,Пазар Ежедневно банкиране,Други,False,0.41149415173409476
инвестиционен фонд с отворен период,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.7253534676636542
какъв е срока за усвояване на ипотечен кредит,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7660990108614971
безплатно ли е откриването на дск старт,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5124689208602812
действия на служител при дублиране на егн,Support_Services,Други,False,0.2949829873156106
кога влиза в сило откриването на план премиум,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6692027823638075
каква е таксата за теглене на пари в брой на каса без заявка на физическо лице,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,True,0.6509155156083211
платинена карта в премиум план има ли такса,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5885233483740299
дравейте как мога да си прехвърля дск смарт на друг телефон,Пазар Ежедневно банкиране,Други,False,0.24764338331523633
"здравейте, във връзка с искане за ипотечен кредит за покупка н а жилищен имот апартамент и гараж в гр. пловдив на клиента божидар юриев корчев кл.номер 10918041. имаме следните въпроси относно сделката дохода на клиента е от трудово правоотношение е 2 800 лева и от пенсия 979 лева, общо 3 797 лева. ползва ктп 60 000 лева с вноска 640 лева, четири членно семейство . дали дохода ще бъде достатъчен и бихме ли могли да ползваме дохода на съпругата му която е втора година майчинство. следващият въпрос е може ли да го финансираме при ltv 85% при положение , че ще ползваме бъдеща пазарна стойност на имота , а същият е преди акт 15? в продуктовата карта за същият продукт е описано следното за пловдив – при цел на кредита окончателно завършване на имота с разрешение за ползване : 80% от бъдещата пазарна стойност на имота като завършен – за апартамент, гараж ателие .",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7701951786922487
"моля, за линк към бланка за искане за ипотечен кредит",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6641347432230665
моля за информаци за текужтите планове за ежедневно банкиране,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.28510267371593045
"клиент в сегмент премиум, георги новаков, егн 850316006, управител в оод, с 10 % дялово участие в юл 205782660. 90 % са собственост на чуждестранно юл, предмет на дейност компютърно програмиране. осигурява се по дук, максимален осигурителен праг, дохода по дук се получава по рс в бдск (медианен доход 19000 лв., регулярно се получава). обезпечението е в гр. софия, акт 16, цена 134 500 евро, пс 264 300 лв. или търсено финансиране 38,00 % ltv. предоставени са гдд, опр, сб за 2022 г. и за 2023 г. и за 2024 г. към 30.11. нямаме възможност да предоставим гдд за 2024 г. можем ли да използваме отклонение код 59 или бихте ни предложили друг вариант?",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.41963344803830793
задължително ли е захранването на нова разплщателна сметка,Пазар Ежедневно банкиране,Пазар Малък бизнес,False,0.22756833556925288
бланка за пълномощно бизнес клиент,Пазар Малък бизнес,Пазар Малък бизнес,True,0.7251790462120162
".rnlr mf gr.rykr u,eorjr",Други,Други,True,0.35004900802753813
всеки ли може да я използва,Други,Други,True,0.3372308050673788
добро утро,Други,Други,True,0.6908209536059858
може ли да бъде излъчено искане през los с външно рефинансиране,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.5963527298533933
какво е представлява инвестиционният продукт дск шрьодер,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.4947903592423661
трябва ли да се присъединява съдлъжник по кредити за българи работещи в чужбина,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5557926650279877
какъв е максималният рамер потребителски кредит,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.8136217339956651
какъв план да предложа на стоматолог,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.35203435748678796
ваш служител беше груб с мен къде да се оплача?,Други,Други,True,0.462318116196522
какви са условията за рефинансиране на кредит от друга банка,Няколко пазара,Пазар Жилищни и ипотечни кредити,False,0.22721138897213572
изисквания за доказване на доходи от български гражданин работещ в чужбина,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,Пазар Жилищни и ипотечни кредити,False,0.17708839703098025
мога ли да си променя телефонния номер дистанционно,Пазар Ежедневно банкиране,Други,False,0.6344506750854745
доход от сътитуляр,Няколко пазара,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False,0.6207842126991002
инвестиционни планове,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.716632136715079
план по разплащателна сметка,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7775979853870281
критерии за сегментиране премиум план,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8365153829024011
"здравей, може ли да се заличи ипотека по фирмен кредит",Пазар Малък бизнес,Пазар Жилищни и ипотечни кредити,False,0.40632805649703346
какви са покритията пхри застраховка помощ при пътуване,Пазар Банково застраховане,Пазар Банково застраховане,True,0.7280469564587432
"what document exactly is meant by ""proof of residence in the country""",Пазар Ежедневно банкиране,Други,False,0.39726331075774785
как да добавя любим номер в мобайл,Пазар Ежедневно банкиране,Други,False,0.4550099668754939
каква е процедурата за закриване на дск пулс,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.2766363436631884
здравейте,Други,Други,True,0.3765656093311212
какви документи са необходими за юридическо становище,Support_Services,Пазар Жилищни и ипотечни кредити,False,0.31410172850491347
пререгистрация на фирма?,Пазар Малък бизнес,Пазар Малък бизнес,True,0.5539028627371028
имаш ли си гадже,Други,Други,True,0.48100290949154156
след отказано ктп през los къде да прикача документите по кредита,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.7610729844491978
"understand that drafting a guarantee takes several days. to avoid making two trips to bulgaria for the same matter, would it be possible for you to start preparing the guarantee in advance? this would allow me to handle this matter in a single trip. how many days do you need me in sofia to do the guarantee ?",Други,Други,True,0.5538376296686578
вземаме ли за обезпечение сглобяемите къщи,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6019070109065968
каква е таксата на план начало?,Пазар Малък бизнес,Пазар Ежедневно банкиране,False,0.47166295593763846
каква е процедурата при смяна на устройство в dsk mobile?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7223003947941696
каква е таксата за вноска на монети във каса,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,True,0.534315617914132
какъв е срокът за усвояване на етапи при жик,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6612357953054783
каква е максималната сума на кредитна карта към план без ограничения,Пазар Ежедневно банкиране,Пазар Разсрочени плащания,False,0.5238322625054308
траябва ли да бъде регитриран в банката родител при откриване ан сметка дск тийн ?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7900350399993458
план дск хоризонт,Пазар Малък бизнес,Пазар Ежедневно банкиране,False,0.757177543259029
какви са изискванията за доказване на доход от дивидент при жилищни кредити за покупка,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.42080735272993053
кредитна карта maxi go има ли такса,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7671241314227665
каква е максималната възраст по потребителски кредит,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.8454701115680272
трябва ли клиент да помни паролата си след като е активирал вход с биометрични данни или пин в дск мобайл,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.744139842647906
как да закрия клиентска сметка,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.3054112539261513
при кандидатстване за ктп приема ли се доход на личен асистент,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.47431594230035806
в кои случаи се попълва декларация за произход на средства?,Пазар Ежедневно банкиране,Support_Services,False,0.3970011005793216
"може ли обектът, който ще служи за обезпечение, да бъде и имотът, който ще бъде довършван със средствата, при условие че е с акт 16, но по бдс? /при еднократно усвояване на средствата/ - необходима ли е корекция в ксс, при условие че в доклада на оценителя е вписана приетата стойност /по-висока от размера на кредита/ и в който доклад е описано, че не е приета стойност за кухненско обзавеждане, което е описано единствено и само в точка 3 в последната част на ксс-то. в случая ще бъдат извършвани отделни довършителни работи, а не довършителни работи по изграждането на имота. няма как да ползваме продукта за ремонт, тъй като няма какво да се ремонтира.",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7212808994641484
как да регистрирам работодател за да го добавя в доходи и плащания,Пазар Ежедневно банкиране,Други,False,0.5645989361645128
"добре, благодаря за отговора, но нямаш право да даваш инвестиционни съвети на клиент",Други,Пазар Спестяване и инвестиции,False,0.31969480343622425
може ли сметка по която е обвързана с изискуем кредит да се включи в план без ограничения,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6243263902364339
"след кое действие на служител предложение към клиент, участващ в кампания в crm се отразява като приключено?",Support_Services,Support_Services,True,0.4246554929201308
при теглене на каса във валута служителите на банката имат ли такси,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False,0.42774312805146303
до колко бройки банкноти могат да се внесат на бакомат на дск,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,Пазар Ежедневно банкиране,False,0.35686970028723497
какво е договорна ипотека,Support_Services,Пазар Жилищни и ипотечни кредити,False,0.4134373706146053
кога може да бъде прекратен договор за план служебно от банката,Support_Services,Пазар Ежедневно банкиране,False,0.4847296563313261
до коя дата можем да сключваме дск стабилност еврооблигации 3?,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.35377663928940345
"имаме клиенти с украинско гражданство, кредитоискателят има постоянно решение за пребиваване , като през месец май ще получи и българско гражданство. съпругата е с временно разрешение за пребиваване. и двамата работят на постоянен трудов договор в българия от 2018г., като получават работните си възнаграждения по разплащателни сметки в банка дск, като декларират общ месечен доход около 3 300лв. имаме и представени справки от бнб. въпросът ми е в такъв случай ще търсим ли съдлъжник с българско гражданство. желаят да закупят имот като имат 20% самоучастие.",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.48418338049443105
колко е максималният срок за ктп с доходи на земеделски производител,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.628603702114259
запплата,Други,Други,True,0.35004900802753813
моля за бланка за искане за издаване на удостоверение,Няколко пазара,Няколко пазара,True,0.5270900004250983
ако клиент има две левови сметки мога ли да активирам и по двете план за ежедневно банкиране,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7033432519777559
откъде мога да видя документите на бизнес кредит,Пазар Малък бизнес,Пазар Малък бизнес,True,0.570379586806106
kyde da namerq cenowata matrica po vik,Пазар Жилищни и ипотечни кредити,Други,False,0.35004900802753813
"как клиент чуждестранен гражданин се регистрира в дск директ, когато в номера на документа за самоличност има и цифри и букви?",Пазар Ежедневно банкиране,Support_Services,False,0.3682969507119574
сигнатура на клон слатина,Други,Други,True,0.5310630531208377
